"method","distribution","mean_cov","sd_cov","mean_width"
"bca","chisq",0.932225,0.00918563189624606,3.04350212550639
"normal","chisq",0.9316,0.00868254954875968,2.9957693355882
"percentile","chisq",0.929775,0.00910910716444442,2.97822700759047
"basic","chisq",0.928025,0.0110418521996991,2.97822700759047
"basic","contaminated_normal",0.956475,0.00166808273176124,2.35380704789917
"normal","contaminated_normal",0.944975,0.00201721755561137,2.37168016887099
"percentile","contaminated_normal",0.91895,0.00646039214496043,2.35380704789917
"bca","contaminated_normal",0.876303019622753,0.0100613872896433,2.51804249136748
"bca","exponential",0.926889676395534,0.00914191107170092,3.46016898960234
"percentile","exponential",0.9177,0.0110866285828169,3.27042104762749
"normal","exponential",0.914475,0.0116999643874102,3.29995968496581
"basic","exponential",0.903875,0.0143641625814618,3.27042104762749
"bca","lognormal",0.928173212321232,0.00821183881934586,1.36284927199252
"normal","lognormal",0.926875,0.00875685445808027,1.3304844787308
"percentile","lognormal",0.926275,0.00859898249794709,1.32172141345822
"basic","lognormal",0.9226,0.00836062198643137,1.32172141345822
"normal","normal",0.935475,0.00652399417534995,1.34701218685896
"bca","normal",0.93455,0.00727209277535246,1.35600074098315
"percentile","normal",0.933175,0.00680508388388169,1.34016262131534
"basic","normal",0.932275,0.0074593900554938,1.34016262131534
"basic","t",0.941375,0.00619966396938844,0.853237356743072
"normal","t",0.939275,0.00668549424749834,0.85752838247159
"percentile","t",0.930675,0.0077025428701609,0.853237356743072
"bca","t",0.921094536596588,0.00867405030781264,0.873069318142397
